Name of the college,Stream,Candidates Registerd,Candidates Appeared,Distin-ction,Grade I,Grade II,Pass Grade,Total Pass,Pass Percent,Year
"KARMAVEER BABURAO PATIL JUNIOR COLLEGE, PARINCHE",SCIENCE,24,24,9,15,0,0,24,100.0,2021
"KARMAVEER BABURAO PATIL JUNIOR COLLEGE, PARINCHE",ARTS,16,16,1,9,6,0,16,100.0,2021
"KARMAVEER BABURAO PATIL JUNIOR COLLEGE, PARINCHE",COMMERCE,21,21,3,15,3,0,21,100.0,2021
"WAGHIRE COLLEGE OF ARTS,COME & SCIENCE, SASWAD",SCIENCE,232,232,135,92,5,0,232,100.0,2021
"WAGHIRE COLLEGE OF ARTS,COME & SCIENCE, SASWAD",ARTS,168,168,14,119,35,0,168,100.0,2021
"WAGHIRE COLLEGE OF ARTS,COME & SCIENCE, SASWAD",COMMERCE,222,222,134,88,0,0,222,100.0,2021
"KILACHAND JUNIOR COLLEGE, NIRA, TQ.PURANDAR, PUNE",SCIENCE,141,141,36,95,10,0,141,100.0,2021
"KILACHAND JUNIOR COLLEGE, NIRA, TQ.PURANDAR, PUNE",ARTS,102,102,4,52,46,0,102,100.0,2021
"MAHARSHI WALMIKI JUINOR COLLEGE,WAHLE,TQ.PURANDAR",SCIENCE,23,23,14,9,0,0,23,100.0,2021
"MAHARSHI WALMIKI JUINOR COLLEGE,WAHLE,TQ.PURANDAR",ARTS,43,43,0,14,29,0,43,100.0,2021
"MAHARSHI WALMIKI JUINOR COLLEGE,WAHLE,TQ.PURANDAR",COMMERCE,75,75,10,38,27,0,75,100.0,2021
"PURANDAR JR.COLLEGE OF ARTS,SCIENCE,COMM, SASWAD",SCIENCE,238,238,167,71,0,0,238,100.0,2021
"PURANDAR JR.COLLEGE OF ARTS,SCIENCE,COMM, SASWAD",ARTS,173,173,13,138,22,0,173,100.0,2021
"PURANDAR JR.COLLEGE OF ARTS,SCIENCE,COMM, SASWAD",COMMERCE,174,174,38,132,4,0,174,100.0,2021
"ABDULBHAI CHANDBHAI HUNDEKARI JR.COLLEGE, JEJURI",SCIENCE,48,48,35,13,0,0,48,100.0,2021
"ABDULBHAI CHANDBHAI HUNDEKARI JR.COLLEGE, JEJURI",ARTS,43,43,4,27,12,0,43,100.0,2021
"ABDULBHAI CHANDBHAI HUNDEKARI JR.COLLEGE, JEJURI",COMMERCE,63,63,27,35,1,0,63,100.0,2021
"DR.SHANKARRAO KOLATE VIDYALAYA &JR.COLLEGE,PISARVE",SCIENCE,33,33,23,10,0,0,33,100.0,2021
"DR.SHANKARRAO KOLATE VIDYALAYA &JR.COLLEGE,PISARVE",ARTS,14,14,0,3,11,0,14,100.0,2021
"M.E.S.WAGHIRE HIGH SCHOOL & JR.COLLEGE, SASWAD",SCIENCE,21,21,11,10,0,0,21,100.0,2021
"M.E.S.WAGHIRE HIGH SCHOOL & JR.COLLEGE, SASWAD",ARTS,42,42,8,32,2,0,42,100.0,2021
"SHRI.KEDARESHWAR VIDHYALAYA & JR.COLLEGE, KALDAREE",ARTS,27,27,10,17,0,0,27,100.0,2021
"JIJAMATA VIDHYALAYA, JEJURI TAL-PURANDAR DT PUNE",SCIENCE,84,84,64,20,0,0,84,100.0,2021
"JIJAMATA VIDHYALAYA, JEJURI TAL-PURANDAR DT PUNE",ARTS,77,77,15,61,1,0,77,100.0,2021
"JIJAMATA VIDHYALAYA, JEJURI TAL-PURANDAR DT PUNE",COMMERCE,112,112,94,18,0,0,112,100.0,2021
